Column1;Column2;Column3;Column4;
correct_word;misspelled_word;category;;
commitment;committment;repeat_consonant;;
harass;harrass;repeat_consonant;;
occasion;occassion;repeat_consonant;;
recommend;reccommend;repeat_consonant;;
across;accross;repeat_consonant;;
until;untill;repeat_consonant;;
useful;usefull;repeat_consonant;;
professor;proffessor;repeat_consonant;;
control;controll;repeat_consonant;;
writing;writting;repeat_consonant;;
original;orriginal;repeat_consonant;;
process;proccess;repeat_consonant;;
necessary;neccessary;repeat_consonant;;
apartment;appartment;repeat_consonant;;
fulfill;fullfill;repeat_consonant;;
business;bussiness;repeat_consonant;;t->tt,l->ll,m->mm,n->nn,s->ss,p->pp,c->cc,r->rr
already;allready;repeat_consonant;;
always;allways;repeat_consonant;;
amount;ammount;repeat_consonant;;
around;arround;repeat_consonant;;
balance;ballance;repeat_consonant;;
coming;comming;repeat_consonant;;
equipment;equippment;repeat_consonant;;
finally;finnally;repeat_consonant;;
grateful;gratefull;repeat_consonant;;
image;immage;repeat_consonant;;
memory;memmory;repeat_consonant;;
operator;opperator;repeat_consonant;;
parallel;parrallel;repeat_consonant;;
planet;plannet;repeat_consonant;;
position;possition;repeat_consonant;;
program;programm;repeat_consonant;;
quality;quallity;repeat_consonant;;
report;repport;repeat_consonant;;
special;speccial;repeat_consonant;;
standard;stanndard;repeat_consonant;;
total;totall;repeat_consonant;;
beginning;begginning ;repeat_consonant;;
truly;trully;repeat_consonant;;
immediate;immediatte;repeat_consonant;;
experience;experrience;repeat_consonant;;
opinion;opinnion;repeat_consonant;;
tomorrow;tommorrow;repeat_consonant;;
welcome;wellcome;repeat_consonant;;
typical;typpical;repeat_consonant;;
promise;promisse;repeat_consonant;;
develop;developp;repeat_consonant;;
manage;managge;repeat_consonant;;
intend;inntend;repeat_consonant;;
apparent;apparrent;repeat_consonant;;
;;;;
definitely;definately;wrong_vowel;;
separate;seperate;wrong_vowel;;
independent;independant;wrong_vowel;;
cemetery;cemetary;wrong_vowel;;
grammar;grammer;wrong_vowel;;
occurrence;occurrance;wrong_vowel;;
attendance;attendence;wrong_vowel;;
privilege;privelege;wrong_vowel;;
calendar;calender;wrong_vowel;;
maintenance;maintanance;wrong_vowel;;
relevant;relevent;wrong_vowel;;
category;catagory;wrong_vowel;;
existence;existance;wrong_vowel;;i->a,a->e,e->a,i->e,a->i
persistent;persistant;wrong_vowel;;
reference;referance;wrong_vowel;;
guidance;guidence;wrong_vowel;;
performance;performence;wrong_vowel;;
insurance;insurence;wrong_vowel;;
appearance;appearence;wrong_vowel;;
difference;differance;wrong_vowel;;
intelligence;intelligance;wrong_vowel;;
sequence;sequance;wrong_vowel;;
sentence;sentance;wrong_vowel;;
dictionary;dictionery;wrong_vowel;;
medicine;medecine;wrong_vowel;;
negative;negitive;wrong_vowel;;
patience;patiance;wrong_vowel;;
affect;affact;wrong_vowel;;
apparent ;apparant;wrong_vowel;;
frequently;frequantly;wrong_vowel;;
;;;;
consensus;concensus;wrong_consonant;;
absence;absense;wrong_consonant;;
muscle;mussle;wrong_consonant;;c->s,s->c,ph->f,ch->k
alphabet;alfabet;wrong_consonant;;
phantom;fantom;wrong_consonant;;
character;karacter;wrong_consonant;;
photo;foto;wrong_consonant;;
coarse;coarce;wrong_consonant;;
philosophy;filosophy ;wrong_consonant;;
city;sity;wrong_consonant;;
musician;musisian;wrong_consonant;;
phone;fone;wrong_consonant;;
phrase;frase;wrong_consonant;;
phenomenon;fenomenon;wrong_consonant;;
pharmacy;farmacy;wrong_consonant;;
chemist;kemist;wrong_consonant;;
chorus;korus;wrong_consonant;;
culture;kulture;wrong_consonant;;
coffee;koffee;wrong_consonant;;
camera;kamera;wrong_consonant;;
exact;exakt;wrong_consonant;;
existence;egzist;wrong_consonant;;
exact;egzact;wrong_consonant;;
concept;consept;wrong_consonant;;
concern;consern;wrong_consonant;;
clinic;klinic;wrong_consonant;;
creative;kreative;wrong_consonant;;
answer;anzwer;wrong_consonant;;
conclusion;conklusion;wrong_consonant;;
performance;performanse;wrong_consonant;;
bankrupt;bancrupt;wrong_consonant;;
collect;collekt;wrong_consonant;;
construct;construkt;wrong_consonant;;
puncture;punkture;wrong_consonant;;
consider;concider;wrong_consonant;;
finance;finanse;wrong_consonant;;
realize;realise;wrong_consonant;;
recognize;recognise;wrong_consonant;;
apologise;apologize;wrong_consonant;;
optimize;optimise;wrong_consonant;;
visualize;visualise;wrong_consonant;;
customize;customise;wrong_consonant;;
memorize;memorise;wrong_consonant;;
nationalize;nationalise;wrong_consonant;;
legalize;legalise;wrong_consonant;;
stabilize;stabilise;wrong_consonant;;
polarize;polarise;wrong_consonant;;
emphasize;emphasise;wrong_consonant;;
authorize;authorise;wrong_consonant;;
criticize;criticise;wrong_consonant;;
;;;;
receive;recieve;vowel_order;;
believe;beleive;vowel_order;;
friend;freind;vowel_order;;
weird;wierd;vowel_order;;
achieve;acheive;vowel_order;;
field;feild;vowel_order;;
weight;wieght;vowel_order;;
height;hieght;vowel_order;;ei->ie,au->ua
science;sceince;vowel_order;;
receipt;reciept;vowel_order;;
neighbor;nieghbor;vowel_order;;
ancient;anceint;vowel_order;;
thief;theif;vowel_order;;
brief;breif;vowel_order;;
ceiling;cieling;vowel_order;;
foreign;foriegn;vowel_order;;
guarantee;gaurantee;vowel_order;;
their;thier;vowel_order;;
piece;peice;vowel_order;;
caffeine;caffiene;vowel_order;;
neither;niether;vowel_order;;
quiet;queit;vowel_order;;
hygiene;hygeine;vowel_order;;
pierce;peirce;vowel_order;;
relief;releif;vowel_order;;
guarenteed;gauranteed;vowel_order;;
reliable;relaible;vowel_order;;
seismic;siesmic;vowel_order;;
conscience;consceince;vowel_order;;
shield;sheild;vowel_order;;
perceive;percieve;vowel_order;;
deceive;decieve;vowel_order;;
weightless;wieghtless;vowel_order;;
hygienic;hygeinic;vowel_order;;
piercing;peircing;vowel_order;;
thief;thief;vowel_order;;
chief;cheif;vowel_order;;
niece;neice;vowel_order;;
ancient;anceint;vowel_order;;
vein;vien;vowel_order;;
protein;protien;vowel_order;;
feint;fient;vowel_order;;
fiend;feind;vowel_order;;
grief;greif;vowel_order;;
patient;pateint;vowel_order;;
diet;deit;vowel_order;;
leisure;liesure;vowel_order;;
feisty;fiesty;vowel_order;;
exhaust;exhuast;vowel_order;;
astronaut;astronuat;vowel_order;;
;;;;
publicly;publically;extra_letter;;
truly;truely;extra_letter;;
argument;arguement;extra_letter;;cly->cally,uly->uely->ument->uement,tning->tening,xer->xcer
lightning;lightening;extra_letter;;
exercise;excercise;extra_letter;;
quiet;quiete;extra_letter;;
weather;wheather;extra_letter;;
restaurant;restauraunt;extra_letter;;
regularly;regulairly;extra_letter;;
because;becauese;extra_letter;;
development;develpement;extra_letter;;
;;;;
exhaust;exaust;missing_letter;;
government;goverment;missing_letter;;
library;libary;missing_letter;;
February;Febuary;missing_letter;;
surprise;suprise;missing_letter;;
environment;enviroment;missing_letter;;
candidate;canidate;missing_letter;;
definite;defnite;missing_letter;;
separate;seprate;missing_letter;;
success;sucess;missing_letter;;
success;succes;missing_letter;;
vacuum;vacum;missing_letter;;
address;adress;missing_letter;;
address;addres;missing_letter;;rnm->rm,ibra->iba,finite->fnite,nsc->nc
occurrence;occurence;missing_letter;;
occurrence;ocurrence;missing_letter;;
pleasant;plesant;missing_letter;;
exaggerate;exagerate;missing_letter;;
temperature;temprature;missing_letter;;
conscious;concious;missing_letter;;
science;sience;missing_letter;;
rhythm;rythm;missing_letter;;
knowledge;knowlege;missing_letter;;
receipt;receit;missing_letter;;
strength;strenth;missing_letter;;
technique;tecnique;missing_letter;;
psychology;psycology;missing_letter;;
appearance;apperance;missing_letter;;
recommend;recomend;missing_letter;;
restaurant;restarant;missing_letter;;
accommodation;acommodation;missing_letter;;
accommodation;accomodation;missing_letter;;
allowed;allowd;missing_letter;;
queue;queu;missing_letter;;
little;litle;missing_letter;;
sudden;suden;missing_letter;;
written;writen;missing_letter;;
necessary;necesary;missing_letter;;
parallel;paralel;missing_letter;;
opportunity;oportunity;missing_letter;;
happen;hapen;missing_letter;;
across;acros;missing_letter;;
interrupt;interupt;missing_letter;;
immediate;imediate;missing_letter;;
different;diferent;missing_letter;;
occasion;ocasion;missing_letter;;
definitely;definitly;missing_letter;;
conscience;consience;missing_letter;;
apparent;aparent;missing_letter;;
happiness;hapiness;missing_letter;;
disappear;disapear;missing_letter;;
immediate;immediat;missing_letter;;
finally;finaly;missing_letter;;
serious;serius;missing_letter;;
