correct,misspelled
abandon,abondon
abandoned,abondoned
abandoning,abondoning
abandons,abondons
aberration,aberation
about,baout boaut
absence,absense
absorbed,asorbed
absorption,absorbsion absorbtion
abuts,abutts
acceptable,acceptible
accessible,accessable
accession,accension
accidentally,accidently
acclimatization,acclimitization
accommodate,accomadate accomodate
accommodated,accomadated accomodated
accommodates,accomadates accomodates
accommodating,accomadating accomodating
accommodation,accomadation accomodation
accommodations,accomodations
accompanied,accompanyed
accomplish,acomplish
accomplished,acomplished
accomplishment,acomplishment
accomplishments,acomplishments
according,acording
accuracy,acuracy
accused,accussed
accustom,acustom
accustomed,acustommed
achieve,acheive achive
achieved,acheived achived
achievement,acheivement acheivment achievment
achievements,acheivements acheivments achievments
achieves,acheives
achieving,acheiving
acquaintance,acquaintence acquiantence aquaintance aquiantance
acquaintances,acquaintences acquiantences
acquainted,aquainted
acquire,adquire aquire
acquired,adquired aquired
acquires,adquires
acquiring,adquiring aquiring
acquisition,aquisition
acquitted,acquited aquitted
across,accross
actually,actualy
adaptation,adaption
adaptations,adaptions
adders,addres
additionally,additinally
address,addres adres adress
addressable,addresable adresable adressable
addressing,addresing adresing adressing
adequate,adecuate
adhering,adhearing
administrate,adminstrate
administration,adminstration
administrative,adminstrative
admissibility,admissability
admissible,admissable
admission,addmission
adolescent,adolecent
adopt,addopt
adopted,addopted
adoptive,addoptive
advertisement,advertisment
advertisements,advertisments
advice,adviced
advised,adviced
aerial,aeriel
aerials,aeriels
afford,affort efford
affords,effords
aficionado,afficionado
aficionados,afficionados
again,agian agina
aggravate,agravate
aggregate,agregate
aggregates,agregates
aggression,agression
aggressive,agressive
aggressively,agressively
aggrieved,agrieved
agree,agre
agreed,agred
agreeing,agreing
agreement,aggreement
agriculturist,agriculturalist
airborne,airbourne
airports,airporta
alcohol,alchohol
alcoholic,alcoholical
algebraic,algebraical
algorithm,algoritm
algorithms,algoritms
allege,alege alledge
alleged,aleged alledged
alleges,alledges
allegiance,alegience allegience
alleviate,alliviate
allophone,allopone
allophones,allopones
allot,alot
allotted,alotted
allusion,alusion
almost,almsot alomst
already,alreayd
also,alsot aslo
although,altho althought altough
always,alwasy alwyas
amateur,amature
amend,ammend
amendment,admendment amendmant ammendment
among,amoung
anal,anual
analogous,analagous analogeous
analytic,analitic
and,anbd
androgynous,androgenous
androgyny,androgeny
angina,agina
annihilation,anihilation
announced,anounced
annual,anual
annulled,annuled
anoint,annoint
anointed,annointed
anointing,annointing
anoints,annoints
anomalies,anomolies
anomalous,anomolous
anomaly,anomoly
anonymity,anonimity
anything,anytying
anywhere,anyhwere
apart,appart
apartment,appartment
apartments,appartments
apologetics,apolegetics
apologies,appologies
apology,appology
appalling,appealling
apparent,aparent apparant
appealing,appealling
appearance,appearence
appearances,appearences
application,aplication
appreciate,apprieciate
approaches,approachs
appropriate,appropiate
approximately,approximitely aproximately
apron,apon
arbitrarily,arbitarily
arbitrary,arbitary
archaeologist,archeaologist
archaeologists,archeaologists
archaeology,archaoelogy archaology
archeologist,archeaologist
archeologists,archeaologists
archeology,archaoelogy archaology
archetype,archtype
archetypes,archtypes
architect,archetect
architects,archetects
architectural,archetectural
architecturally,archetecturally
architecture,archetecture
archive,achive
archived,achived
armature,amature
arrangement,arangement
arrested,erested
article,artical articel
artificial,artifical
artificially,artifically
artillery,artillary
ascension,accension
ascetic,asetic
aspects,spects
assassin,assasin
assassinate,assasinate
assassinated,assasinated
assassinates,assasinates
assassination,assasination
assassinations,assasinations
assassins,assasins
assemble,assemple
assistant,assitant
associated,asociated
asteroid,asteriod
asymmetric,assymetric
atheistic,atheistical
attainder,attaindre
attained,attaindre
attempt,attemt
attempted,attemted
attempting,attemting
attempts,attemts
attendance,attendence
attendant,attendent
attendants,attendents
attitude,attitide
attribute,atribute
attributes,atributes
audience,audeince
author,autor
autobiographic,authobiographic
autobiography,authobiography
auxiliary,auxilliary
available,avalable avaliable
averaged,averageed
aviation,avation
away,awya
awkward,ackward
back,bakc bcak
backward,ackward
bandwidth,bandwith
bankruptcy,bankrupcy
barbecue,barbeque
basically,basicaly basicly
beautiful,beatiful beautyfull
became,becamae
because,beacuse becasue becouse becuase
becoming,becomming
before,befoer
begging,beggin
begin,beggin
beginner,begginer
beginners,begginers
beginning,beggining begining beginnig
beginnings,begginings
behavior,behavour
behaviour,behavour
belief,beleif
beliefs,belives
believe,beleive
believed,beleived
believes,beleives belives
believing,beleiving
beneficial,benificial
beneficiary,beneficary
benefit,benifit
benefits,benifits
besiege,beseige
besieged,beseiged
besieging,beseiging
bestiality,beastiality
between,vetween
bilaterally,bilateraly
binomial,binominal
blame,blaim
blamed,blaimed
blessing,blessure
boat,boaut
boundary,bondary boundry
bout,baout boaut
breakthrough,breakthough
brilliant,briliant
broadly,broady
buffaloes,buffalos
buffalos,buffaloes
bureaucracy,beaurocracy
burin,buring
burning,buring
burying,buring
business,buisness busineses busness
businesses,busineses
caisson,casion
calculate,caluclate caluculate calulate
calculated,caluclated caluculated calulated
calendar,calender
calligraphy,caligraphy
campaign,campain
campaigns,campains
can't,cant
candidate,candadate
canister,cannister
canisters,cannisters
canonical,cannonical
cant,cant
capability,caperbility
carcass,carcas
caring,careing
carnivorous,carniverous
cartilage,cartilege cartilidge
cartographer,carthographer
cartridge,cartrige
cassette,casette
cassowary,cassawory cassowarry
casualties,casulaties causalities
casualty,casulaty
categories,catagories
category,catagory
caterpillar,catterpilar
caterpillars,catterpilars
catholic,cathlic
cemeteries,cemetaries
cemetery,cemetarey cemetary
censor,censur
censure,censur sensure
census,cencus
centuries,centruies
century,centruy
ceremonial,cerimonial
ceremonies,cerimonies
ceremonious,cerimonious
ceremony,cerimony
certain,ceratin
certainty,certainity
cervical,cervial
chairman,chariman
character,carachter charachter
characteristics,charistics
characterized,charaterized
characters,charachters
charismatic,carismatic
chase,chasr
chaser,chasr
cheat,sheat
chemical,chemcial
chemically,chemcially chemicaly
chemistry,chemestry
chief,cheif
childbirth,childbird
children's,childrens
chosen,choosen
church,curch
circuit,ciricuit
civilian,civillian
claims,claimes
clear,claer clera
clearance,cleareance
clearer,claerer
clearly,claerly
clinical,clincial
clinically,clinicaly
cloud,coudl
coast,caost
collateral,colateral
colleague,collegue
colleagues,collegues
collectible,collectable
colonies,collonies
colonnade,collonade
colony,collony
coloration,colouration
colossal,collosal
colouration,coloration
comeback,comback
coming,comming
commandeer,comander
commander,comander
commando,comando
commandos,comandos commandoes
commemorated,commmemorated
commemorative,commemerative
commercial,commericial
commercially,commericially
commission,comision comission commision
commissioned,comisioned comissioned commisioned
commissioner,comisioner comissioner commisioner
commissioning,comisioning comissioning commisioning
commissions,comisions comissions commisions
committed,comited comitted commited
committee,comittee commitee committe
committing,comiting comitting commiting
commonly,commongly
communication,communciation
comparative,comparitive
comparison,comparision
compatibility,compatiblity
competence,competance
competent,competant compitent
competition,competion
competitive,competive
compiler,complier
completion,competion
comprehensive,comphrehensive
compromise,comprimise
concentrate,consentrate
concentrated,consentrated
concentrates,consentrates
concept,consept
concern,consern
concerned,conserned
concerning,conserning
condemned,condemmed
condition,condidtion
conditions,condidtions
confidential,confidental
confidentially,confidentally
conform,coform
congressional,congresional
conjecture,conjecutre
connived,conived
connotation,cannotation
connotations,cannotations
conqueror,conquerer
conquerors,conquerers
conscious,concious
consciously,conciously
consciousness,conciousness
consensus,concensus
consent,conscent
conservative,conservitive
consider,concider consdider
considered,concidered consdidered considerd
considers,conciders
consolidate,consolodate
consolidated,consolodated
consonant,consonent
consonants,consonents
consortium,consorcium
constant,constatn
constantly,constanly
constituencies,consituencies
constituency,consituency
constituent,constituant
constituents,constituants
constitution,consitution constituion costitution
constitutional,consitutional constituional
constraints,constaints
construction,constuction
consummate,consumate
consummated,consumated
contains,containes countains
contaminate,contaiminate
contemporaneous,contemporaneus
contemporaries,contamporaries
contemporary,contamporary contemporaneus
continuing,continueing
continuous,continous
continuously,continously
contributor,contributer
contributors,contributers
control,controll
controlled,controled
controlling,controling
controls,controlls
controversial,contravercial controvercial
controversies,controveries
controversy,contraversy controvercy controvery
convenient,conveinent convienient
conventional,convential
conversion,convertion
converted,coverted
converter,convertor
converters,convertors
conveyor,conveyer
cooperation,coorperation
coordination,coordiantion
copy,cpoy
copyright,copywrite
corporate,corparate
corporation,coorperation
correspond,corrispond
corresponded,corrisponded
correspondent,correspondant corrispondant
correspondents,correspondants corrispondants
corresponding,correponding correposding corrisponding
corresponds,corrisponds
corrosion,corosion
could,coudl sould
councillor,councellor
councillors,councellors
counsellor,councellor
counsellors,councellors
counselor,councellor
counselors,councellors
countries,ocuntries
country,ocuntry
courier,coururier
couturier,coururier
covenant,convenant
covered,coverted
coveted,coverted
coy,cpoy
created,creaeted
criterion,critereon
criticise,critisize
criticised,critisized
criticises,critisizes
criticising,critising critisizing
criticism,critisism
criticisms,critisisms
criticize,critisize
criticized,critisized
criticizes,critisizes
criticizing,critising critisizing
critics,criticists
crucifixion,crucifiction
cruises,crusies
culminating,culiminating
cumulative,cumulatative
currently,currenly
cyan,cxan
dahl,dael
daub,doub
deal,dael
debatable,debateable
deceived,decieved
decidable,decideable
decide,deside
decidedly,decidely
deciduous,ecidious
decipher,decypher
deciphered,decyphered
decision,descision
decisions,descisions
decompose,decomposit
decomposed,decomposited
decomposes,decomposits
decomposing,decompositing
defiance,definance
define,deffine
defined,deffined
definite,definate definit
definitely,definately definatly definetly definitly
deities,dieties
deity,diety
demeanor,damenor demenor
demeanour,damenor demenor
demographic,demographical
denigrating,denegrating
dependence,dependance
dependency,dependancy
dependent,dependant
derived,deriviated dirived
derogatory,derogitory
descendant,decendant descendent
descendants,decendants decendents descendents
describe,decribe discribe
described,decribed discribed
describes,decribes discribes
describing,decribing discribing
desiccated,dessicated
designed,desgined dessigned
desirable,desireable
despair,dispair
desperate,desparate
desperation,despiration
despicable,dispicable
despite,dispite
destroy,stroy
destructive,distructive
detached,detatched
detailed,detailled
determining,determinining
detrimental,detremental
develop,develope
developed,developped
development,devolopement
device,divice
dial,dael
didn't,didnt
die,diea
different,diferent diferrent diffrent
difficulties,dificulties
difficulty,dificulty
dimension,dimention
dimensions,dimenions dimentions
diphthong,diphtong dipthong
diphthongs,diphtongs dipthongs
directly,driectly
disagreement,dissagreement
disappear,dissapear dissappear
disappeared,dissapeared
disappearing,dissapearing
disappears,dissapears dissappears
disapproval,disaproval
disaster,diaster
disastrous,disasterous
discontent,discontentment
discover,dicover
discovered,dicovered
discovering,dicovering
discovers,dicovers
discovery,dicovery
discuss,descuss
disintegrated,desintegrated
disintegration,desintegration
disobedience,disobediance dissobediance dissobedience
disobedient,disobediant dissobediant dissobedient
disparagingly,disparingly
disparate,desparate
dispense,dispence
dispensed,dispenced
dispensing,dispencing
dissatisfaction,disatisfaction
dissatisfied,disatisfied
dissemination,disemination
dissolved,disolved
distinguish,distingish
distinguished,distingished
distinguishes,distingishes
distinguishing,distingishing
diverged,diversed
diverse,diversed
divide,devide
divided,devided
division,divison
divisions,divisons
document,doccument
documented,doccumented
documents,doccuments
does,doens
doesn't,doesnt
doing,doign donig
dominant,dominent dominiant
doubt,doub
dram,deram
dramatic,dramtic
dream,deram
dreams,dreasm
dressing,adressing
drink,drnik
drumming,druming
dukedom,dukeship
during,buring durring
dyeing,dieing
dying,dieing
earned,earnt
eclectic,electic
eclipse,eclispe
efficient,effecient efficent
efficiently,effeciently efficently
effluence,effulence
effort,affort efford
efforts,effords
eighth,eigth
election,electon
electric,electic
electrical,electrial
electrically,electricly
electricity,electricty
electron,electon
elementary,elimentary
elephant,elphant
elicited,elicided
eligible,eligable
eliminated,eleminated
eliminating,eleminating
else,esle
emanate,eminate
embarrass,embarass embarras
embarrassed,embarassed embarrased
embarrassing,embarassing embarrasing
embarrassment,embarassment embarrasment
embezzled,embezelled
emigrant,imigrant
emigrated,emmigrated imigrated
emigration,imigration
eminent,emminent imanent iminent
eminently,emminently
emissaries,emmisaries emmisarries
emissary,emmisarry emmisary
emission,emision emition emmision
emitted,emited emmited emmitted
emitting,emiting emmiting emmitting
emotion,emition
emphysema,emphysyma
empirical,emperical empirial
enamored,enamoured
enamoured,enamored
encryption,encryptiion
engineer,engeneer engieneer
engineering,engeneering
engineers,engieneers
enlargement,enlargment
enlargements,enlargments
enmity,emnity
enormous,enourmous
enormously,enourmously
entertaining,intertaining
entrepreneur,entrepeneur
entrepreneurs,entrepeneurs
enumerable,inumerable
environment,enviorment enviornment enviroment
environmental,enviormental enviornmental enviromental
environmentalist,enviornmentalist enviromentalist
environmentally,enviormentally enviornmentally enviromentally
environments,enviorments enviornments enviroments
equatorial,equitorial
equilibrium,equilibium equilibrum
equipment,equippment
equipped,equiped
erected,erested
erratic,eratic
erratically,eraticly
essence,essense
essential,esential essencial essentual essesital
ethos,ethose
every,eveyr
evidently,evidentally
evil,efel
exacerbate,exerbate
exacerbated,exerbated
exaggerate,exagerate exagerrate
exaggerated,exagerated exagerrated
exaggerates,exagerates exagerrates
exaggerating,exagerating exagerrating
exalted,exhalted
example,exemple exmaple
exceeded,excedded
excel,excell
excellent,exelent
excels,excells
excerpt,exerpt
excerpts,exerpts
execute,excecute
executed,excecuted
executes,excecutes
executing,excecuting
execution,excecution
exempt,exampt
exerted,extered
exhibition,exibition
exhibitions,exibitions
existence,existance
existent,existant
exoskeleton,exoskelaton
expects,spects
expel,expell
expels,expells
explain,expalin
exploitative,exploititive
extant,extint
external,exerternal
extinct,extint
extraordinarily,extrordinarily
extraordinary,extrordinary
extraterrestrial,extraterrestial
extravagant,extravagent
eyas,eyars
facilitate,faciliate
facilitated,faciliated
famous,famoust
fanaticism,fanatism
fascinated,facinated
feasible,feasable
feel,fiel
feels,fiels
fictitious,ficticious fictious
field,fiel
fields,fiels
filament,filiament
file,fiel
files,fiels
finally,fianlly finaly
financially,financialy
find,fidn
first,firts
fled,fleed
flirts,firts
flourish,fluorish
fluorescent,florescent
forbade,forbad
forehead,forhead
foreign,foriegn
foremost,formost
forerunner,forunner
forfeit,forfiet
form,fomr
formalize,formallize
formalized,formallized
forty,fourty
fought,faught fougth
found,foudn
foundries,foundaries
foundry,foundary
freed,fleed
friend,freind
friends,firends
from,fomr
fundamental,fundametal
fundamentals,fundametals
fungi,funguses
further,furuther
gale,gae
game,gae
gases,gasses
genealogies,geneologies
genealogy,geneology
generally,generaly
genitalia,genialia
goddess,godess
goddesses,godesses
going,gogin goign gonig oging
gourd,gaurd
government,goverment govorment
governmental,govermental govormental
governor,gouvener governer
graffiti,grafitti
grammar,grammer
grammatically,gramatically grammaticaly
grateful,greatful
gratefully,greatfully
gratuitous,gratuitious
great,gerat graet grat
grief,greif
grow,grwo
guanine,gunanine
guarantee,guarentee
guaranteed,garanteed guarenteed guranteed
guarantees,guarentees
guard,gaurd
guerilla,guerrila
guerillas,guerrilas
guerrilla,guerrila
guerrillas,guerrilas
guidance,guidence
guttural,guttaral gutteral
habeas,habaeus habeus
happen,ahppen hapen
happened,hapened happended
happening,hapening
harass,harras harrassing
harassed,harased harrased
harasses,harases harrases
harassing,harrasing
harassment,harasment harrasment
hare,hace
have,ahev ahve haev hvae hvea
having,hvaing
heave,haev hvea
heritage,inheritage
heroes,heros
heterogeneous,heterogenous
holy,wholy
hydrophilic,hydropilic
hydrophobic,hydropobic
hygiene,hygeine
hypocrisy,hypocracy hypocrasy hypocricy
hypocrite,hypocrit
hypocrites,hypocrits
iconoclastic,iconclastic
idea,diea idae
ideas,idaes idesa
identical,identicial
ideologies,idealogies
ideology,idealogy
ides,idesa
idiosyncratic,ideosyncratic
illegitimacy,illegimacy
illegitimate,illegitmate
illogical,ilogical
illusion,alusion illution
imagery,imaginery
imaginary,imagenary imaginery
imagine,imagin
imbalance,inbalance
imitate,immitate
imitated,immitated
imitating,immitating
imitator,immitator
immanent,iminent
immediately,emmediately imediately immediatley immidately immidiately
immense,imense
immigrant,imigrant inmigrant
immigrants,inmigrants
immigrated,imigrated
immigration,imigration
imminent,emminent imanent iminent
impeach,inpeach
impedance,impedence
imperial,empirial
impolite,inpolite
imprisonment,inprisonment
improvisation,improvision
inaccessible,inaccessable
inappropriate,inappropiate
incompatibility,incompatiblity
incompetence,incompetance
incompetent,incompetant
incorporation,incorperation
incorruptible,incorruptable
incredible,increadible incredable
incunabula,incunabla
indefinitely,indefinately indefinitly
independence,independance independece
independent,independant indipendent indpendent
independently,indepedantly independantly indipendently indpendently
indict,indite
indispensable,indispensible
indisputable,indisputible
indisputably,indisputibly
indulge,indulgue
industrial,indutrial
inevitable,inevatible inevitible
infectious,infectuous
infiltrate,infilitrate
infiltrated,infilitrated
infinite,infinit
inflammation,inflamation
influenced,influented
influential,influencial
information,infomation
ingredients,ingreediants
inhabitant,habitant
inhabitants,habitants
inheritance,inheritage
initiation,initation
innocence,inocence
innumerable,inumerable
insidious,ecidious
insistence,insistance
instance,instatance
instead,instade
institution,insitution
institutions,insitutions
integrated,intergrated
integration,intergration
intellectual,intelectual
intelligence,inteligence
intelligent,inteligent
interbred,interbread
interbreed,interbread
interchangeably,interchangably
interest,intrest
international,internation
interpret,interpet
interregnum,interrugum
interrelated,interelated
interrupt,interupt
into,inot
introduce,inctroduce
introduced,inctroduced
intuitive,intutive
intuitively,intutively
inventor,inventer
invertebrates,invertibrates
involvement,involvment
ironically,ironicly
irrelevant,irelevent
irresistible,iresistable iresistible irresistable
irresistibly,iresistably iresistibly irresistably
irritable,iritable
irritated,iritated
isn't,isnt
jeopardy,jeapardy
journeys,journies
judicial,judical
